Open,High,Low,Close,short_ma,long_ma,rsi,macd,macd_hist,macd_signal,Close_pct_change
0.4,0.42,0.38,0.38,0.84,0.95,27.12,-0.16,-0.02,-0.15,-6.0
0.39,0.39,0.35,0.36,0.83,0.94,25.96,-0.16,-0.01,-0.15,0.0
0.35,0.38,0.33,0.36,0.82,0.94,25.96,-0.15,-0.0,-0.15,-6.0
0.34,0.35,0.33,0.34,0.81,0.94,24.9,-0.15,0.0,-0.15,3.0
0.34,0.36,0.34,0.35,0.8,0.93,26.43,-0.15,0.0,-0.15,4.0
0.36,0.37,0.35,0.36,0.79,0.93,28.87,-0.14,0.01,-0.15,-7.0
0.37,0.37,0.34,0.34,0.78,0.93,27.21,-0.13,0.01,-0.14,-2.0
0.34,0.34,0.33,0.33,0.77,0.93,26.79,-0.13,0.01,-0.14,0.0
0.34,0.34,0.31,0.33,0.76,0.92,26.79,-0.12,0.01,-0.14,0.0
0.34,0.34,0.32,0.33,0.74,0.92,27.01,-0.12,0.02,-0.13,4.0
0.34,0.36,0.33,0.34,0.73,0.92,29.68,-0.11,0.02,-0.13,1.0
0.35,0.36,0.34,0.35,0.72,0.92,30.6,-0.1,0.02,-0.12,5.0
0.35,0.37,0.35,0.37,0.71,0.91,34.06,-0.1,0.02,-0.12,9.0
0.38,0.4,0.38,0.4,0.7,0.91,40.26,-0.09,0.03,-0.11,-0.0
0.41,0.41,0.39,0.4,0.69,0.91,40.12,-0.08,0.03,-0.1,-4.0
0.4,0.4,0.37,0.38,0.68,0.9,38.25,-0.07,0.03,-0.1,-1.0
0.38,0.39,0.37,0.38,0.66,0.9,37.96,-0.06,0.03,-0.09,-6.0
0.38,0.38,0.35,0.36,0.65,0.9,35.08,-0.06,0.02,-0.09,1.0
0.35,0.37,0.34,0.36,0.63,0.9,35.6,-0.06,0.02,-0.08,-6.0
0.35,0.35,0.34,0.34,0.62,0.89,33.01,-0.06,0.02,-0.07,2.0
0.33,0.36,0.33,0.35,0.6,0.89,34.44,-0.05,0.02,-0.07,5.0
0.36,0.37,0.35,0.36,0.59,0.89,38.4,-0.05,0.02,-0.07,-2.0
0.36,0.36,0.34,0.35,0.58,0.88,37.36,-0.05,0.02,-0.06,-4.0
0.35,0.35,0.34,0.34,0.56,0.88,34.97,-0.04,0.01,-0.06,-3.0
0.34,0.34,0.33,0.33,0.55,0.88,33.65,-0.04,0.01,-0.06,2.0
0.33,0.35,0.33,0.34,0.53,0.87,35.93,-0.04,0.01,-0.05,-1.0
0.34,0.35,0.33,0.34,0.52,0.87,35.56,-0.04,0.01,-0.05,-2.0
0.34,0.34,0.33,0.33,0.5,0.87,34.58,-0.04,0.01,-0.05,4.0
0.34,0.35,0.34,0.34,0.49,0.86,39.25,-0.04,0.01,-0.05,-3.0
0.35,0.36,0.33,0.33,0.48,0.86,37.06,-0.03,0.01,-0.04,-4.0
0.33,0.34,0.32,0.32,0.46,0.86,34.86,-0.03,0.01,-0.04,-3.0
0.32,0.33,0.31,0.31,0.45,0.85,33.34,-0.03,0.01,-0.04,-6.0
0.3,0.3,0.29,0.29,0.43,0.85,30.13,-0.03,0.0,-0.04,3.0
0.3,0.31,0.3,0.3,0.42,0.85,33.76,-0.03,0.0,-0.04,-2.0
0.31,0.31,0.29,0.3,0.4,0.84,32.55,-0.03,0.0,-0.04,2.0
0.3,0.31,0.29,0.3,0.39,0.84,34.66,-0.03,0.0,-0.04,-16.0
0.26,0.27,0.25,0.26,0.38,0.84,26.87,-0.03,0.0,-0.04,0.0
0.26,0.27,0.25,0.26,0.36,0.83,26.87,-0.04,-0.0,-0.04,5.0
0.26,0.27,0.26,0.27,0.35,0.83,31.83,-0.04,-0.0,-0.04,1.0
0.27,0.27,0.27,0.27,0.35,0.82,32.65,-0.04,0.0,-0.04,1.0
0.27,0.29,0.27,0.27,0.34,0.82,33.93,-0.03,0.0,-0.04,-2.0
0.28,0.28,0.27,0.27,0.34,0.82,32.59,-0.03,0.0,-0.04,-4.0
0.27,0.27,0.26,0.26,0.34,0.81,30.64,-0.03,0.0,-0.03,-3.0
0.26,0.26,0.25,0.25,0.34,0.81,29.38,-0.03,0.0,-0.03,1.0
0.26,0.26,0.25,0.25,0.33,0.8,30.91,-0.03,0.0,-0.03,-2.0
0.26,0.27,0.25,0.25,0.33,0.8,29.98,-0.03,0.0,-0.03,3.0
0.25,0.26,0.24,0.26,0.33,0.8,33.24,-0.03,0.0,-0.03,-2.0
0.25,0.27,0.25,0.25,0.33,0.79,31.9,-0.03,0.0,-0.03,7.0
0.25,0.27,0.25,0.27,0.32,0.79,39.72,-0.03,0.0,-0.03,-2.0
