Open,High,Low,Close,short_ma,long_ma,rsi,macd,macd_hist,macd_signal,Close_pct_change
33.62,33.78,33.32,33.55,30.13,24.22,63.36,1.02,0.03,0.99,-2.0
33.75,33.75,32.36,33.0,30.2,24.28,58.91,0.97,-0.02,0.99,-2.0
32.75,32.75,31.59,32.24,30.26,24.34,53.33,0.86,-0.1,0.96,1.0
31.9,32.9,31.66,32.51,30.32,24.39,54.96,0.78,-0.14,0.93,5.0
32.1,34.2,31.77,34.01,30.41,24.46,62.75,0.83,-0.07,0.91,0.0
33.9,37.58,33.57,34.15,30.5,24.52,63.39,0.88,-0.02,0.9,0.0
34.85,34.98,33.55,34.15,30.6,24.59,63.39,0.9,-0.0,0.9,2.0
34.3,35.96,33.87,34.85,30.72,24.66,66.69,0.96,0.05,0.91,1.0
35.02,35.78,34.5,35.03,30.86,24.73,67.5,1.02,0.08,0.93,-1.0
34.35,34.69,33.69,34.55,31.0,24.8,63.09,1.01,0.06,0.95,1.0
35.0,35.29,34.7,35.0,31.14,24.87,65.37,1.03,0.06,0.96,2.0
35.0,35.88,34.85,35.85,31.28,24.95,69.24,1.1,0.11,0.99,-1.0
35.6,35.86,34.55,35.39,31.41,25.03,65.01,1.1,0.09,1.01,-1.0
35.2,35.74,34.5,35.0,31.54,25.1,61.57,1.06,0.04,1.02,-8.0
34.65,34.7,31.49,32.3,31.62,25.15,44.15,0.8,-0.17,0.98,4.0
32.5,34.75,32.15,33.51,31.71,25.22,50.86,0.69,-0.23,0.92,-0.0
33.76,33.8,33.09,33.37,31.82,25.3,50.11,0.58,-0.27,0.85,-2.0
33.21,33.62,32.5,32.79,31.92,25.36,47.02,0.44,-0.33,0.77,-2.0
32.9,33.62,31.75,32.15,32.01,25.42,43.8,0.28,-0.39,0.67,-1.0
32.4,32.6,31.4,31.89,32.08,25.49,42.53,0.12,-0.44,0.56,-0.0
31.89,32.05,31.4,31.76,32.15,25.55,41.88,-0.01,-0.46,0.45,2.0
31.51,32.71,31.25,32.5,32.24,25.62,46.89,-0.05,-0.4,0.35,1.0
32.36,33.3,32.11,32.96,32.32,25.69,49.79,-0.05,-0.32,0.27,1.0
32.71,33.33,32.5,33.23,32.38,25.77,51.46,-0.02,-0.23,0.21,1.0
33.2,33.71,33.01,33.59,32.45,25.84,53.68,0.02,-0.15,0.17,0.0
33.99,33.99,33.25,33.63,32.53,25.91,53.93,0.07,-0.09,0.15,2.0
33.6,34.65,33.06,34.36,32.63,25.99,58.38,0.15,0.0,0.15,-1.0
34.36,34.97,33.7,33.9,32.71,26.07,54.79,0.19,0.03,0.16,1.0
34.15,34.7,34.15,34.35,32.81,26.15,57.54,0.24,0.07,0.18,-4.0
34.35,34.95,32.71,32.95,32.88,26.23,47.8,0.18,-0.0,0.18,3.0
33.2,33.9,32.85,33.8,32.97,26.31,53.0,0.19,0.01,0.18,3.0
33.44,35.0,33.38,34.9,33.09,26.39,58.73,0.28,0.08,0.2,-2.0
33.75,34.18,32.76,34.1,33.2,26.47,53.61,0.29,0.07,0.22,-8.0
33.8,34.0,31.0,31.4,33.21,26.54,40.71,0.08,-0.11,0.19,7.0
31.9,34.0,31.82,33.7,33.27,26.62,51.43,0.09,-0.08,0.17,0.0
33.95,34.41,33.4,33.72,33.35,26.7,51.51,0.11,-0.05,0.16,-7.0
33.5,34.0,30.7,31.38,33.34,26.77,42.47,-0.07,-0.18,0.11,2.0
31.3,32.39,31.3,32.07,33.32,26.84,45.51,-0.16,-0.21,0.06,1.0
32.0,32.75,31.85,32.26,33.32,26.91,46.35,-0.2,-0.21,0.01,-2.0
32.15,32.85,31.32,31.62,33.3,26.98,43.89,-0.29,-0.24,-0.05,-4.0
31.2,32.2,30.38,30.5,33.27,27.05,39.91,-0.44,-0.31,-0.13,-1.0
31.25,31.9,30.06,30.2,33.22,27.11,38.89,-0.58,-0.36,-0.22,2.0
30.2,31.5,30.07,30.79,33.17,27.18,42.02,-0.64,-0.33,-0.31,1.0
30.6,31.35,30.26,31.24,33.14,27.25,44.36,-0.64,-0.27,-0.37,3.0
31.25,32.55,31.25,32.03,33.15,27.32,48.31,-0.57,-0.16,-0.41,-2.0
31.78,32.51,30.5,31.36,33.11,27.39,45.37,-0.56,-0.12,-0.44,2.0
31.4,32.3,31.21,31.95,33.1,27.46,48.35,-0.5,-0.05,-0.45,0.0
31.95,32.4,31.81,32.1,33.09,27.54,49.12,-0.44,0.01,-0.45,1.0
32.6,33.1,32.0,32.5,33.08,27.62,51.18,-0.35,0.08,-0.43,1.0
32.15,32.95,32.15,32.92,33.06,27.7,53.32,-0.24,0.15,-0.39,1.0
31.75,33.4,31.75,33.26,33.06,27.78,55.04,-0.13,0.21,-0.34,3.0
