Open,High,Low,Close,short_ma,long_ma,rsi,macd,macd_hist,macd_signal,Close_pct_change
3315.48,3339.85,3262.37,3290.28,3787.46,3998.24,37.38,-176.03,-24.56,-151.47,-2.0
3335.4,3348.61,3173.68,3213.96,3774.48,3993.66,34.87,-175.7,-19.38,-156.32,-1.0
3106.95,3257.81,3026.11,3171.56,3760.94,3990.01,33.53,-176.82,-16.4,-160.42,8.0
3330.25,3423.45,3314.89,3418.6,3752.25,3987.71,46.48,-155.97,3.56,-159.53,2.0
3402.96,3535.11,3401.88,3483.14,3746.71,3986.49,49.26,-132.72,21.45,-154.17,-0.0
3483.38,3523.69,3432.44,3468.69,3740.29,3984.42,48.65,-114.13,32.02,-146.16,-1.0
3495.45,3526.71,3401.05,3419.79,3731.7,3981.27,46.55,-102.18,35.19,-137.36,-6.0
3347.24,3376.33,3210.74,3229.57,3719.25,3977.82,39.42,-106.82,24.44,-131.25,1.0
3245.4,3286.29,3081.36,3272.18,3707.47,3974.93,41.58,-105.84,20.33,-126.17,0.0
3320.69,3362.26,3231.63,3278.36,3694.22,3971.53,41.91,-103.37,18.24,-121.61,-3.0
3243.88,3279.72,3149.24,3191.4,3679.44,3967.17,38.66,-107.2,11.53,-118.73,6.0
3223.44,3379.08,3223.44,3369.63,3667.77,3963.36,47.61,-94.76,19.18,-113.93,-1.0
3316.51,3396.72,3289.46,3333.39,3655.28,3959.27,46.14,-86.82,21.69,-108.51,3.0
3387.28,3433.16,3370.02,3429.02,3643.64,3955.47,50.49,-71.98,29.22,-101.21,1.0
3447.32,3468.59,3401.77,3451.58,3631.6,3951.55,51.49,-57.74,34.77,-92.51,-1.0
3469.35,3480.01,3412.98,3416.21,3619.07,3948.15,49.79,-48.74,35.02,-83.76,-0.0
3399.28,3435.13,3360.26,3415.79,3605.98,3944.39,49.77,-41.17,34.07,-75.24,-5.0
3426.29,3429.12,3231.28,3231.7,3588.97,3940.2,41.54,-49.46,20.63,-70.08,-1.0
3174.9,3230.0,3087.06,3200.35,3570.9,3936.01,40.31,-57.89,9.76,-67.64,-5.0
3122.11,3141.35,3028.92,3028.99,3547.35,3931.72,34.36,-77.5,-7.88,-69.62,-2.0
2956.09,3063.31,2859.39,2966.72,3522.0,3926.85,32.48,-96.95,-21.87,-75.08,6.0
3069.81,3145.3,3059.88,3138.27,3501.9,3922.28,41.9,-97.4,-17.85,-79.55,1.0
3137.61,3208.95,3104.57,3165.49,3484.94,3917.74,43.25,-94.47,-11.94,-82.53,-4.0
3121.8,3175.63,3031.76,3031.88,3463.62,3911.84,38.51,-101.76,-15.38,-86.38,-0.0
3044.45,3090.97,2967.17,3027.19,3444.59,3905.76,38.35,-106.68,-16.24,-90.44,-5.0
2943.11,2949.5,2860.49,2875.64,3424.18,3898.53,33.54,-121.41,-24.78,-96.63,-0.0
2892.03,2921.8,2845.17,2871.45,3404.62,3890.75,33.41,-131.9,-28.22,-103.69,-4.0
2828.14,2872.64,2754.14,2755.34,3381.84,3882.71,30.07,-147.88,-35.36,-112.53,5.0
2823.48,2904.46,2820.91,2904.38,3361.66,3874.8,38.57,-146.83,-27.44,-119.39,-1.0
2979.93,2998.75,2874.71,2880.49,3342.56,3867.23,37.77,-146.24,-21.48,-124.76,-5.0
2873.73,2891.4,2734.46,2734.98,3322.73,3858.81,33.29,-155.71,-24.76,-130.95,-1.0
2748.18,2770.18,2642.89,2706.93,3299.56,3850.24,32.49,-163.6,-26.12,-137.48,-4.0
2599.04,2641.75,2523.04,2597.93,3273.56,3841.09,29.52,-176.61,-31.3,-145.3,2.0
2644.09,2749.06,2604.27,2645.29,3249.89,3831.57,32.41,-181.01,-28.57,-152.45,-1.0
2662.56,2671.18,2567.18,2615.75,3226.13,3822.59,31.54,-184.75,-25.85,-158.91,10.0
2702.72,2889.8,2694.41,2889.8,3209.1,3815.13,46.01,-163.72,-3.85,-159.87,-3.0
2878.87,2916.2,2781.24,2796.5,3191.25,3806.36,42.7,-152.82,5.64,-158.46,-2.0
2748.29,2794.53,2707.96,2752.66,3173.18,3797.04,41.2,-146.03,9.94,-155.97,6.0
2857.93,2929.95,2844.93,2917.43,3155.96,3788.67,48.52,-125.9,24.05,-149.96,3.0
2936.6,3028.75,2901.48,3015.1,3142.81,3780.86,52.31,-100.91,39.24,-140.15,-3.0
2994.06,3002.53,2930.99,2931.77,3130.07,3772.03,49.0,-86.83,42.66,-129.48,-4.0
2996.57,3001.72,2814.13,2822.77,3117.4,3762.23,44.98,-83.5,36.79,-120.29,-3.0
2820.48,2847.37,2727.26,2728.51,3101.51,3752.1,41.79,-87.46,26.26,-113.72,-3.0
2688.66,2697.93,2596.03,2653.27,3085.14,3740.79,39.39,-95.56,14.53,-110.09,-1.0
2698.72,2726.2,2597.47,2624.52,3070.41,3729.39,38.48,-103.12,5.58,-108.7,-4.0
2617.06,2696.61,2509.76,2511.71,3053.53,3717.71,35.06,-116.86,-6.53,-110.33,-7.0
2410.96,2432.83,2312.51,2332.78,3035.37,3704.88,30.44,-140.57,-24.2,-116.38,0.0
2310.21,2423.71,2288.16,2340.12,3018.81,3691.35,30.84,-156.96,-32.47,-124.5,8.0
2397.67,2517.93,2397.67,2517.02,3007.65,3678.69,39.88,-153.9,-23.53,-130.38,-1.0
2518.29,2548.75,2436.19,2493.52,2991.19,3666.62,39.15,-151.63,-17.0,-134.63,2.0
2471.33,2539.52,2450.22,2539.35,2976.17,3655.79,41.4,-144.46,-7.87,-136.59,1.0
2517.9,2571.52,2514.56,2557.76,2963.05,3645.66,42.33,-135.73,0.69,-136.42,-3.0
2552.68,2577.02,2456.54,2470.52,2949.02,3634.43,39.17,-134.3,1.7,-136.0,-7.0
2474.16,2474.16,2273.07,2291.86,2926.49,3621.9,33.64,-145.9,-7.93,-137.98,14.0
2254.56,2618.03,2251.71,2616.69,2909.16,3611.93,48.02,-127.42,8.45,-135.87,-2.0
2593.96,2644.8,2549.83,2566.83,2891.12,3601.21,46.36,-115.46,16.32,-131.78,-6.0
2573.11,2574.62,2395.39,2407.65,2870.88,3588.92,41.43,-117.48,11.45,-128.92,-0.0
2388.72,2397.06,2299.65,2395.92,2854.21,3576.2,41.08,-118.65,8.22,-126.87,2.0
2424.69,2474.16,2406.08,2441.3,2837.59,3563.59,43.07,-114.6,9.81,-124.42,3.0
2392.71,2525.28,2376.49,2524.18,2822.51,3551.42,46.6,-103.51,16.73,-120.23,5.0
2495.59,2661.93,2495.01,2640.57,2811.49,3540.45,51.19,-84.35,28.7,-113.06,-1.0
2639.56,2699.87,2589.63,2626.5,2796.63,3530.36,50.62,-69.51,34.84,-104.35,-0.0
2631.49,2638.22,2576.95,2618.55,2782.33,3521.16,50.28,-57.72,37.3,-95.02,2.0
2710.53,2756.63,2668.48,2682.78,2767.41,3511.71,53.02,-42.7,41.86,-84.56,3.0
2696.74,2769.98,2661.26,2768.49,2753.74,3504.44,56.45,-23.61,48.76,-72.37,0.0
2838.36,2841.25,2752.06,2770.38,2740.83,3497.54,56.53,-8.23,51.31,-59.54,-0.0
2759.1,2789.63,2722.96,2757.91,2727.67,3490.49,55.84,2.91,49.96,-47.05,3.0
2759.26,2845.39,2736.28,2840.39,2719.84,3483.35,59.37,18.19,52.19,-34.0,1.0
2850.74,2892.36,2828.32,2859.15,2713.02,3475.42,60.14,31.45,52.36,-20.91,-4.0
2836.35,2849.56,2753.37,2754.28,2707.53,3468.25,53.92,33.12,43.22,-10.11,1.0
2705.39,2785.62,2686.65,2781.3,2703.82,3461.87,55.21,36.2,37.04,-0.85,2.0
2757.29,2840.02,2742.5,2838.34,2697.82,3457.22,57.88,42.75,34.88,7.87,0.0
2845.01,2861.71,2817.13,2838.35,2691.28,3453.02,57.88,47.4,31.62,15.78,-2.0
2848.11,2872.47,2772.35,2772.73,2686.09,3450.28,53.61,45.27,23.59,21.68,0.0
2771.57,2796.89,2742.44,2782.79,2681.2,3446.5,54.17,43.88,17.76,26.12,-4.0
2782.93,2791.58,2660.11,2660.5,2676.9,3440.83,46.8,32.54,5.14,27.4,-1.0
2639.65,2656.02,2596.73,2643.21,2672.34,3435.52,45.85,21.9,-4.4,26.3,1.0
